"","words","term.freq","doc.freq"
"2517","inconsistent",2,2
"2518","alleged",12,7
"2519","cruelties",6,5
"2520","committed",21,19
"2521","indians.from",1,1
"2522","m'gillevry's",1,1
"2523","educated",2,2
"2524","scotchman",3,3
"2525","indian",47,36
"2526","reason",25,21
"2527","savage",18,18
"2528","contrary",12,12
"2529","proposals",1,1
"2530","contained",15,12
"2531","rational",6,6
"2532","final",3,3
"2533","advantageous",7,7
"2534","treaty",10,8
"2535","viscount",4,2
"2536","ponteves",1,1
"2537","surperb",1,1
"2538","entertainment",5,5
"2539","ball",11,6
"2540","ladies",25,18
"2541","l'illustre",2,1
"2542","seventy-four",3,3
"2543","guns",14,12
"2544","boats",27,10
"2545","yacht",1,1
"2546","barge",3,3
"2547","foster's",1,1
"2548","wharf",4,4
"2549","o'clock–and",1,1
"2550","boat",34,12
"2551","signal",3,3
"2552","gun",5,5
"2553","fired",15,9
"2554","squadron",16,6
"2555","beautifully",3,3
"2556","arrayed",1,1
"2557","arriving",9,5
"2558","politely",1,1
"2559","room–the",1,1
"2560","marines",2,2
"2561","saluting",1,1
"2562","sat",2,2
"2563","table",20,12
"2564","liberally",2,2
"2565","spread",7,7
"2566","profusion",2,2
"2567","luxuries",6,6
"2568","delicacies",1,1
"2569","erected",11,9
"2570","fancifully",1,1
"2571","decorated",2,2
"2572","pastry",1,1
"2573","metal",3,3
"2574","tubes",1,1
"2575","communicated",7,7
"2576","dis",1,1
"2577","charge",35,25
"2578","top",5,4
"2579","waved",1,1
"2580","ensign–the",1,1
"2581","device",1,1
"2582","hearts–the",1,1
"2583","motto",2,2
"2584","ornamented",2,2
"2585","pieced",1,1
"2586","arrows–and",1,1
"2587","motton",1,1
"2588","homage",1,1
"2589","fair",19,15
"2590","daughters",7,7
"2591","compliment",5,5
"2592","guests",2,2
"2593","dinner",9,8
"2594","closed",11,11
"2595","excellency",22,13
"2596","rockets",1,1
"2597","moored",1,1
"2598","ship.rhode",1,1
"2599","allegiance",4,4
"2600","privilee",1,1
"2601","entries",2,2
"2602","fewer",3,3
"2603","disgrace",4,4
"2604","plodding",1,1
"2605","important.–the",1,1
"2606","markets",10,8
"2607","overstocked",4,4
"2608","enable",21,18
"2609","cheaper",3,3
"2610","credit",23,19
"2611","revenue",14,13
"2612","cornwallis",2,2
"2613","strict",6,6
"2614","sake",3,3
"2615","oriental",3,2
"2616","wealth.our",1,1
"2617","adventurers",5,5
"2618","beauty",5,4
"2619","fails",1,1
"2620","finding",21,21
"2621","admirers",4,4
"2622","restriction",5,4
"2623","forbideen",1,1
"2624","fruit",7,7
"2625","tasting",1,1
"2626","characterof",1,1
"2627","thefemale",1,1
"2628","sex",6,4
"2629","mr.ledyard",1,1
"2630","celebrated",8,7
"2631","traveller.i",1,1
"2632","obliging",2,2
"2633","tender",3,3
"2634","humane",9,9
"2635","inclined",10,8
"2636","cheerful",2,2
"2637","timorous",1,1
"2638","modest",2,2
"2639","hesitate",2,2
"2640","generous",6,5
"2641","action",14,8
"2642","haughty",1,1
"2643","arrogant",1,1
"2644","supercilious",1,1
"2645","courtesy",1,1
"2646","fond",4,4
"2647","society",69,31
"2648","liable",6,5
"2649","err",2,2
"2650","performing",3,3
"2651","actions",0,0
"2652","addressed",14,13
"2653","decency",1,1
"2654","decent",5,5
"2655","otherwise.in",1,1
"2656","wandering",3,2
"2657","barren",6,6
"2658","inhos",1,1
"2659","pitable",1,1
"2660","denmark",4,4
"2661","sweden",3,3
"2662","fro",2,2
"2663","zen",1,1
"2664","rude",2,2
"2665","churlish",1,1
"2666","finland",1,1
"2667","unprin",1,1
"2668","cipled",1,1
"2669","russia",6,6
"2670","widespread",1,1
"2671","regions",6,5
"2672","tartar",1,1
"2673","dry",13,12
"2674","wet",6,6
"2675","uniformly",6,6
"2676","add",28,21
"2677","virtue",7,6
"2678","appellation",2,2
"2679","benevolence",6,5
"2680","performed",18,18
"2681","sweetest",3,3
"2682","draught",1,1
"2683","eat",6,4
"2684","coarse",4,4
"2685","morsel",1,1
"2686","relish",1,1
"2687","newspapers",9,8
"2688","extracted:–quebec",1,1
"2689","mention",18,16
"2690","message",2,2
"2691","raised",32,23
"2692","army",61,34
"2693","york–desiring",1,1
"2694","punish",2,2
"2695","interfere.it",1,1
"2696","oswego",1,1
"2697","emissaries",4,4
"2698","persuade",3,3
"2699","benefited",1,1
"2700","event.we",1,1
"2701","benefits",12,12
"2702","conferred",6,6
"2703","neighbours",11,10
"2704","buying",2,2
"2705","accepting",1,1
"2706","recom",1,1
"2707","mend",2,2
"2708","new-born",1,1
"2709","sovereignty",4,4
"2710","atlantic",12,10
"2711","testify",2,2
"2712","impatience",3,3
"2713","treaties",7,7
"2714","agreements",1,1
"2715","infringed",1,1
"2716","party–pay",0,0
"2717","receive.[as",1,1
"2718","attempt",19,16
"2719","contemplation",5,5
"2720","lakes",12,7
"2721","canada.]may",1,1
"2722","captian",1,1
"2723","nootka",9,2
"2724","preceding",10,9
"2725","north-west",7,6
"2726","canton",4,3
"2727","forwarded",3,3
"2728","mexico",8,7
"2729","des",1,1
"2730","affaires",1,1
"2731","america.[from",1,1
"2732","probable",7,7
"2733","affair",8,6
"2734","preconcerted",2,2
"2735","addresses",4,4
"2736","nited",1,1
"2737","purpose",69,48
"2738","fixing",9,9
"2739","permanently",4,4
"2740","pennsylvania.the",1,1
"2741","fled",13,12
"2742","destruction",24,21
"2743","ravages",4,4
"2744","deemed",17,14
"2745","loyalists",1,1
"2746","jooined",1,1
"2747","confederation",2,2
"2748","seated",10,10
"2749","banks",21,15
"2750","westward",11,5
"2751","navigate",1,1
"2752","northerly",1,1
"2753","southerly",1,1
"2754","coasts",6,6
"2755","gulf",6,3
"2756","lucrative",1,1
"2757","tract",6,6
"2758","position",14,11
"2759","s???d",1,1
"2760","views",19,17
"2761","tend",9,6
"2762","opulence",1,1
"2763","excite",5,5
"2764","admiration.agriculture",1,1
"2765","flow",3,3
"2766","abounds",5,3
"2767","tracts",3,3
"2768","level",8,5
"2769","deep",12,11
"2770","savannahs",1,1
"2771","fisheries",9,6
"2772","shipbuilding",1,1
"2773","amply",3,3
"2774","compensate",3,3
"2775","fertility",6,5
"2776","southern",25,24
"2777","affording",7,7
"2778","encrease",1,1
"2779","augmenting",2,2
"2780","arts",6,5
"2781","manufacturers",6,4
"2782","granary",1,1
"2783","globe",10,10
"2784","humorous",1,1
"2785","adventure",2,2
"2786","negotiated",2,2
"2787","exchange",12,9
"2788","islands.a",1,1
"2789","originally",5,5
"2790","london",66,45
"2791","shared",3,3
"2792","merit",8,7
"2793","knowing",3,3
"2794","fancy",5,4
"2795","correspondent",10,4
"2796","treating",3,3
"2797","affairs",18,17
"2798","comissions",1,1
"2799","reserving",3,3
"2800","item",3,2
"2801","resolution",23,16
"2802","match",4,3
"2803","fail",11,10
"2804","hither",2,2
"2805","qualifications",4,3
"2806","portion",25,17
"2807","family",70,35
"2808","age",34,22
"2809","stature",1,1
"2810","proportioned",2,2
"2811","face",12,11
"2812","agreeable",9,8
"2813","temper",5,5
"2814","character",41,30
"2815","blameless",1,1
"2816","heatlh",1,1
"2817","lack",1,1
"2818","conditioned",2,1
"2819","abovesaid",1,1
"2820","endorsed",1,1
"2821","attested",2,2
"2822","copy",10,10
"2823","thereof",7,6
"2824","mistake",5,4
"2825","imposition",3,3
"2826","oblige",2,2
"2827","engage",8,7
"2828","satisfy",7,7
"2829","marrying",1,1
"2830","odd",2,2
"2831","article",28,17
"2832","bales",18,6
"2833","adressing",1,1
"2834","prudent",7,6
"2835","exactness",1,1
"2836","naturalized",1,1
"2837","creole",3,1
"2838","laconic",1,1
"2839","enumerating",1,1
"2840","enquiries",1,1
"2841","judged",5,5
"2842","fit",15,14
"2843","reputable",1,1
"2844","humour",4,4
"2845","polite",2,2
"2846","education",13,9
"2847","shaped",2,2
"2848","tolerably",4,3
"2849","handsome",15,11
"2850","proposal",9,9
"2851","directed",15,13
"2852","gentlewoman",3,1
"2853","subsistence",15,10
"2854","cross",7,5
"2855","aunt",3,1
"2856","uneasiness",1,1
"2857","accepted",10,10
"2858","fitting",6,6
"2859","necessaries",9,9
"2860","certificate",5,4
"2861","indorsed",1,1
"2862","invoice",1,1
"2863","maid",1,1
"2864","shape",9,8
"2865","appears",53,47
"2866","affadavits",1,1
"2867","certificates",3,2
"2868","writings",1,1
"2869","exact",1,1
"2870","husband",10,7
"2871","parish",18,10
"2872","signified",1,1
"2873","curate",1,1
"2874","attestation",1,1
"2875","space",12,11
"2876","intolerably",1,1
"2877","peevish",1,1
"2878","complaint",8,8
"2879","li[?]y",1,1
"2880","goodness",2,2
"2881","consitution",1,1
"2882","certified",3,3
"2883","word",8,6
"2884","safe",16,16
"2885","foremost",2,2
"2886","pier",2,2
"2887","lady's",2,2
"2888","landing",15,11
"2889","charmed",1,1
"2890","beg",6,5
"2891","pleased",9,9
"2892","correspondent's",1,1
"2893","wrote",5,5
"2894","spouse",1,1
"2895","protested",1,1
"2896","swear",2,2
"2897","reckon",1,1
"2898","fortunate",7,6
"2899","meto",1,1
"2900","willingly",4,4
"2901","apprized",1,1
"2902","questions",3,3
"2903","concerning",7,6
"2904","interview",3,3
"2905","nuptials",1,1
"2906","magnificent",6,5
"2907","married",14,11
"2908","couple",7,5
"2909","transfer",3,3
"2910","ofconjugal",1,1
"2911","love.on",1,1
"2912","monday",28,23
"2913","stockport",1,1
"2914","inhabitant",4,4
"2915","macclesfield",1,1
"2916","toil",3,3
"2917","forms",9,6
"2918","courtship",1,1
"2919","places",40,32
"2920","purchase–and",1,1
"2921","valued",2,2
"2922","cloth",3,3
"2923","yard–which",1,1
"2924","deposited",4,4
"2925","earthly",1,1
"2926","treasure.–whether",1,1
"2927","cheap",6,6
"2928","discomposed",1,1
"2929","trifles",2,2
"2930","philosophy",1,1
"2931","strengthened",1,1
"2932","pair",3,2
"2933","ceremony",2,2
"2934","bridegroom's",1,1
"2935","gaity",1,1
"2936","parted",3,3
"2937","helpmate",1,1
"2938","sorrows",2,2
"2939","partner",2,2
"2940","joys",2,2
"2941","chancery",2,2
"2942","theking",1,1
"2943","thebishopoflon",1,1
"2944","versusandersonandgipps.on",1,1
"2945","hon",45,13
"2946","boyle",2,2
"2947","yorkshire",3,3
"2948","rents",3,3
"2949","college",11,6
"2950","applied",15,11
"2951","propagating",1,1
"2952","missionaries",15,4
"2953","preach",2,2
"2954","gospel",1,1
"2955","trustees",2,2
"2956","management",13,10
"2957","trust",17,14
"2958","care",20,14
"2959","bishop",3,2
"2960","instituted",4,4
"2961","suit",5,5
"2962","parties",35,27
"2963","novel",2,2
"2964","teststor",1,1
"2965","devised",8,5
"2966","sums",10,8
"2967","ceased",5,5
"2968","annuity",2,2
"2969","ought",32,27
"2970","revert",3,3
"2971","purposes",15,12
"2972","chancellor",8,6
"2973","decided",12,10
"2974","sentiment",18,16
"2975","attends",1,1
"2976","decrees",1,1
"2977","phrases",1,1
"2978","charitable",2,2
"2979","devices",2,2
"2980","sacred",2,2
"2981","rake",1,1
"2982","intentions",7,5
"2983","annuities",2,2
"2984","arrears",1,1
"2985","gipps",1,1
"2986","costs",6,6
"2987","advertisement",6,6
"2988","gazettepittsburgh",2,2
"2989","twenty-seventh",2,2
"2990","bed",9,9
"2991","board–and",2,2
"2992","dad",1,1
"2993","stay",8,7
"2994","i'll",3,3
"2995","pause",3,3
"2996","grievous",4,4
"2997","error",6,5
"2998","fairer",9,9
"2999","arn",1,1
"3000","contracts",3,3
"3001","farthing's",2,2
"3002","o'bryan",2,2
"3003","forewarn",1,1
"3004","tuesday",36,28
"3005","afternoon",20,16
"3006","cherokee",15,9
"3007","chiefs",44,16
"3008","cathedral",3,2
"3009","paul's",2,2
"3010","explain",7,6
"3011","curiosity",1,1
"3012","andamazement",1,1
"3013","attend",6,6
"3014","complied",4,4
"3015","delighted",7,7
"3016","organ.the",1,1
"3017","offer",15,11
"3018","obliges",1,1
"3019","acknowledgement",5,5
"3020","not.–we",1,1
"3021","halter",1,1
"3022","club–all",1,1
"3023","housebreakers",1,1
"3024","highwaymen",1,1
"3025","pick",1,1
"3026","pockets",4,4
"3027","swindlers",1,1
"3028","faro",1,1
"3029","keepers–and",1,1
"3030","accomplices",1,1
"3031","amazing",5,5
"3032","number.such",1,1
"3033","collection",8,6
"3034","present.–among",1,1
"3035","dispersedly",1,1
"3036","qualitities",1,1
"3037","generals–skilful",1,1
"3038","financiers",1,1
"3039","negotiators",1,1
"3040","active",25,21
"3041","citizens–and",1,1
"3042","expert",3,3
"3043","coup",1,1
"3044","main.were",1,1
"3045","pugilistic",1,1
"3046","tribe–the",1,1
"3047","enter",9,8
"3048","boxing",1,1
"3049","enemies–with",1,1
"3050","certainty",6,6
"3051","brilliant",6,5
"3052","success.trading",1,1
"3053","justices",4,4
"3054","glad",6,5
"3055","spared",5,5
"3056","wonderfully",3,3
"3057","bought",5,5
"3058","immense",13,13
"3059","selling",5,4
"3060","loss",43,31
"3061","case",54,35
"3062","anticipate",4,4
"3063","fruitfulness",1,1
"3064","soil.–the",1,1
"3065","prospects",6,6
"3066","earnestly",9,9
"3067","wishing",6,6
"3068","coventgarden",1,1
"3069","theatre",8,5
"3070","splendid",12,9
"3071","worn",3,3
"3072","pantomime",1,1
"3073","actors",1,1
"3074","performer",1,1
"3075","performance",3,3
"3076","chief",104,46
"3077","amazed",1,1
"3078","interpreter",1,1
"3079","unable",9,9
"3080","repay",4,4
"3081","actor",3,1
"3082","approach",7,6
"3083","lighting",1,1
"3084","pipe",2,2
"3085","stuffed",1,1
"3086","variety",10,9
"3087","nauseous",1,1
"3088","whiffs",2,1
"3089","presenting",4,4
"3090","tube",1,1
"3091","also–the",1,1
"3092","aastonished",1,1
"3093","singularity",1,1
"3094","reluctantly",1,1
"3095","requestto",1,1
"3096","dramatic",5,2
"3097","circle",1,1
"3098","thoughts",10,10
"3099","quitting",3,3
"3100","speedy",4,3
"3101","effectual",12,9
"3102","succours",2,2
"3103","utterly",7,7
"3104","ruined",3,3
"3105","greater",39,31
"3106","colonists",18,12
"3107","gros-morne.–the",1,1
"3108","grenadiers",2,2
"3109","fort",72,19
"3110","bourbon",7,3
"3111","guadaloupe",1,1
"3112","refugees.–the",1,1
"3113","firing",8,6
"3114","cannon",6,3
"3115","incessantly",2,2
"3116","magazine",2,2
"3117","powder",5,4
"3118","consumed.the",1,1
"3119","municipality",1,1
"3120","sign",3,3
"3121","insurgents",8,4
"3122","please",11,10
"3123","dictate.–the",1,1
"3124","streets",14,11
"3125","money.–imagine",1,1
"3126","terror",7,7
"3127","persent",1,1
"3128","royal.the",1,1
"3129","swarms",5,5
"3130","strangers",29,14
"3131","chabrol",1,1
"3132","chaffeurs",1,1
"3133","comandant",1,1
"3134","troops.the",2,2
"3135","confident",1,1
"3136","re-establish",1,1
"3137","prostrate",2,2
"3138","strew",1,1
"3139","walks",3,3
"3140","flowers",7,4
"3141","affectionately",2,2
"3142","embrace",2,2
"3143","willing",16,14
"3144","comply",4,4
"3145","wishes.the",1,1
"3146","colonial",61,41
"3147","sits",1,1
"3148","gros-morne",1,1
"3149","guarded",1,1
"3150","dumoise",1,1
"3151","general.we",1,1
"3152","arming",1,1
"3153","privateers",2,2
"3154","attack",23,17
"3155","attempted",8,8
"3156","penetrate",1,1
"3157","repulsed",4,4
"3158","mulattoes",7,3
"3159","drafts",3,3
"3160","cork",10,9
"3161","regiments",13,10
"3162","immediately.the",1,1
"3163","repair",3,3
"3164","forthwith",4,4
"3165","complement",1,1
"3166","completion",7,5
"3167","conference",13,11
"3168","preparing",11,11
"3169","departure.last",1,1
"3170","eminent",3,3
"3171","mess",2,2
"3172","fouseca",1,1
"3173","olivarez",1,1
"3174","seville",1,1
"3175","exportation",5,4
"3176","linen",3,3
"3177","mixed",4,4
"3178","amount.monday",1,1
"3179","purcell",1,1
"3180","waterford",2,2
"3181","annapolis",1,1
"3182","dangerous",12,11
"3183","exhausted",3,3
"3184","allowance",9,9
"3185","naggin",1,1
"3186","diluted",1,1
"3187","pint",1,1
"3188","twenty-four",2,2
"3189","hundread",1,1
"3190","hogsheads",3,3
"3191","tobacco",7,6
"3192","staves",1,1
"3193","hoops",1,1
"3194","insurance",2,2
"3195","probability",6,6
"3196","madras",9,5
"3197","bengal",10,5
"3198","gives",17,16
"3199","branches",13,12
"3200","matrimony",2,2
"3201","exportations",2,2
"3202","eleven",8,6
"3203","venture",6,6
"3204","chesterfield",1,1
"3205","burgess",1,1
"3206","connubially",1,1
"3207","linked",2,2
"3208","weakly",1,1
"3209","husbands",3,3
"3210","band",7,6
"3211","hymeneal",1,1
"3212","adventu",1,1
"3213","rers",1,1
"3214","indians.it",1,1
"3215","wish",43,31
"3216","imitation",1,1
"3217","newswritters",1,1
"3218","pubished",1,1
"3219","twice",12,12
"3220","occurs",2,2
"3221","news",7,6
"3222","room",15,13
"3223","purpose:–when",1,1
"3224","ting",1,1
"3225","critical",4,4
"3226","excellencies",1,1
"3227","pen",1,1
"3228","real",17,16
"3229","tragedy",3,2
"3230","intitled",1,1
"3231","reputed",1,1
"3232","offspring",2,2
"3233","professor",10,3
"3234","university",4,3
"3235","applause",1,1
"3236","play",5,5
"3237","richmond",16,8
"3238","expectations",7,7
"3239","pitch",5,5
"3240","assert",3,3
"3241","perusing",2,2
"3242","expetations",1,1
"3243","disappointed",5,5
"3244","volum",1,1
"3245","poems",1,1
"3246","choice",9,6
"3247","talents",11,7
"3248","erred",1,1
"3249","peculiarly",7,7
"3250","horace:denique",1,1
"3251","sit",3,3
"3252","quid",2,1
"3253","vis",2,2
"3254","simplex",1,1
"3255","dumtaxat",1,1
"3256","unum.it",1,1
"3257","simple",11,10
"3258","disgust",5,4
"3259","nakedness.–it",1,1
"3260","complaints",5,5
"3261","maraino",6,1
"3262","oniyo",1,1
"3263","machinations",2,2
"3264","yerdal",1,1
"3265","neidan",2,1
"3266","defeat",12,10
"3267","combined",9,9
"3268","wake",2,2
"3269","compleat",1,1
"3270","delineation",1,1
"3271","quemque",1,1
"3272","decent–there",1,1
"3273","hoever",2,2
"3274","critic",1,1
"3275","halts",1,1
"3276","amidst",5,5
"3277","blushes",1,1
"3278","censure–some",1,1
"3279","ononthio",4,1
"3280","inthe",1,1
"3281","breast",3,2
"3282","inan",1,1
"3283","sachem",2,1
"3284","prompt",8,8
"3285","victim",3,2
"3286","destroyed",14,13
"3287","custom",12,12
"3288","captive",3,2
"3289","coun",1,1
"3290","trymen",1,1
"3291","bleived",1,1
"3292","slain",2,2
"3293","exert",3,3
"3294","risk",8,7
"3295","displeasing",1,1
"3296","consequently",6,5
"3297","losing",1,1
"3298","superstitious",1,1
"3299","crowd",2,2
"3300","bend",3,3
"3301","demons",1,1
"3302","sway",1,1
"3303","mankind?–another",1,1
"3304","question",37,24
"3305","concenring",1,1
"3306","consistent",6,4
"3307","phlisophic",1,1
"3308","firmness",3,2
"3309","despair",2,2
"3310","son's",1,1
"3311","declare",7,7
"3312","need",10,9
"3313","offices?–the",1,1
"3314","supported",22,21
"3315","amiable",3,3
"3316","grateful",3,3
"3317","reverence",2,2
"3318","unaffected",3,3
"3319","piety",2,2
"3320","intfering",1,1
"3321","insight",1,1
"3322","subordinate",2,2
"3323","onaiyo",2,1
"3324","leading",5,5
"3325","feature",1,1
"3326","caracter",1,1
"3327","master-piece",1,1
"3328","deviated",1,1
"3329","sentiments",10,8
"3330","utters",1,1
"3331","conversation",9,8
"3332","fifth",7,7
"3333","phiosopher",1,1
"3334","divine",6,6
"3335","creature",6,6
"3336","tuned",1,1
"3337","strains",1,1
"3338","tenderness",2,2
"3339","brother",12,11
"3340","talk",5,4
"3341","coldly",1,1
"3342","presence",7,6
"3343","safety",11,10
"3344","adored-husband",1,1
"3345","banish",1,1
"3346","imag",1,1
"3347","indifferent",2,2
"3348","gentle",3,3
"3349","moralist?–with",1,1
"3350","exception",8,8
"3351","speaking",3,3
"3352","finely",1,1
"3353","drawn",12,11
"3354","intersting.–the",1,1
"3355","elegant",8,6
"3356","requires",12,9
"3357","sublime",3,3
"3358","uathor",1,1
"3359","requently",1,1
"3360","verse",1,1
"3361","introduction",10,6
"3362","obsolete",1,1
"3363","produces",4,4
"3364","effect–but",1,1
"3365","danger",16,14
"3366","chusing",3,3
"3367","difficult",15,14
"3368","refer",4,4
"3369","deserving",6,5
"3370","taste",8,6
"3371","judgement",5,4
"3372","prompted",1,1
"3373","slay",1,1
"3374","brother–who",1,1
"3375","innocence",1,1
"3376","husband's",1,1
"3377","belt",1,1
"3378","draws",3,3
"3379","speech",15,12
"3380","enraptured",1,1
"3381","conclude",9,9
"3382","apt",2,2
"3383","solemn",4,4
"3384","sounds",2,2
"3385","containing",11,10
"3386","sed",1,1
"3387","nunc",1,1
"3388","non",1,1
"3389","erat",1,1
"3390","locus.–upon",1,1
"3391","guided",2,2
"3392","impartiality",3,2
"3393","spoken",5,4
"3394","freely",2,2
"3395","plays",1,1
"3396","years:–it",1,1
"3397","devoid",1,1
"3398","bombast:–it",1,1
"3399","nature–and",1,1
"3400","inevitably",5,5
"3401","charlestown",3,3
"3402","commit",9,9
"3403","horrid",6,5
"3404","depredations",11,9
"3405","telling",2,2
"3406","window",5,4
"3407","calamity",7,6
"3408","shot",11,10
"3409","burnt.a",1,1
"3410","harling",1,1
"3411","exerted",6,5
"3412","frontiers",15,13
"3413","defeated",19,18
"3414","penetrated",3,3
"3415","services",19,13
"3416","bravery",2,2
"3417","subscription",5,4
"3418","gallant",3,3
"3419","yesterday's",1,1
"3420","conveyed",10,8
"3421","gentlemen",68,38
"3422","corroboratiing",1,1
"3423","extract.sir",1,1
"3424","detroit",6,5
"3425","sinclair",4,3
"3426","attacked",23,16
"3427","snare",1,1
"3428","cut",38,25
"3429","engagement",14,11
"3430","victorious",4,4
"3431","retreat",15,11
"3432","harrassed",1,1
"3433","wounded",26,18
"3434","field–sinclair",1,1
"3435","cohorn",1,1
"3436","grass-hopper",1,1
"3437","elated",1,1
"3438","joining",13,13
"3439","quarters",10,9
"3440","maimis",1,1
"3441","towns",18,18
"3442","hand.the",1,1
"3443","detriot",1,1
"3444","assisted",2,2
"3445","ammunition",6,5
"3446","ascertained",23,22
"3447","them:they",1,1
"3448","serious",18,15
"3449","consequences",24,19
"3450","imputed",2,2
"3451","supplying",6,4
"3452","surprized",1,1
"3453","raising",11,9
"3454","specified",5,5
"3455","differing",2,2
"3456","longevity.–at",2,2
"3457","taconey",2,2
"3458","shoemaker",4,3
"3459","attained",4,4
"3460","hun",3,3
"3461","dred",3,3
"3462","fourteen",4,4
"3463","scotland",41,20
"3464","nativity",2,2
"3465","remembers",1,1
"3466","iii",2,2
"3467","succeed",6,6
"3468","ing",5,5
"3469","coronations",2,2
"3470","fight",4,4
"3471","impaired",2,2
"3472","profession",8,7
"3473","regularly",6,6
"3474","succeeding",3,3
"3475","strength",16,15
"3476","working",16,12
"3477","cape",94,36
"3478","hope.the",4,4
"3479","traveller.the",1,1
"3480","youth",3,3
"3481","neglected",6,6
"3482","hit",2,2
"3483","successful",12,11
"3484","schools",8,7
"3485","individual",24,16
"3486","ambition",4,4
"3487","qualifying",3,3
"3488","sons",10,9
"3489","writing",7,5
"3490","citly",1,1
"3491","petty",5,4
"3492","dealer",1,1
"3493","shop",5,3
"3494","corner",3,3
"3495","paltry",1,1
"3496","list",9,9
"3497","commodities",1,1
"3498","ranked",1,1
"3499","assumed",6,6
"3500","string",1,1
"3501","full-founding",1,1
"3502","epithets",2,2
"3503","names",21,13
"3504","sore",2,2
"3505","indignity",3,3
"3506","retailing",1,1
"3507","gardens",9,8
"3508","avowedly",1,1
"3509","medium",5,5
"3510","minds",7,6
"3511","f[?]l",1,1
"3512","justice",24,20
"3513","excepted",1,1
"3514","wholly",5,5
"3515","bent",2,2
"3516","knopman",1,1
"3517","title",10,10
"3518","aspired",1,1
"3519","ideas",4,4
"3520","differ",4,4
"3521","widely",3,3
"3522","chinese",2,2
"3523","degraded",4,4
"3524","lowest",3,3
"3525","society.that",1,1
"3526","concerns",6,6
"3527","devoted",14,14
"3528","gratification",2,2
"3529","sensual",1,1
"3530","appetite",1,1
"3531","reading",11,8
"3532","arts.–they",1,1
"3533","amusements",1,1
"3534","occasional",2,2
"3535","balls",3,3
"3536","social",5,4
"3537","intercourse",17,12
"3538","consist",19,15
"3539","card",3,3
"3540","playing",1,1
"3541","money-matters",1,1
"3542","engross",1,1
"3543","opulent",3,3
"3544","easy",15,13
"3545","beggars",1,1
"3546","cha",1,1
"3547","rity",1,1
"3548","derived",6,5
"3549","fund",14,8
"3550","established",29,23
"3551","superfluities",1,1
"3552","alms",1,1
"3553","donations",2,2
"3554","collections",1,1
"3555","tax",9,8
"3556","assessments",1,1
"3557","repairs",2,2
"3558","drawback",2,2
"3559","profits",4,4
"3560","labour.it",1,1
"3561","remark",7,4
"3562","pretty",10,10
"3563","humoured",1,1
"3564","possessing",7,7
"3565","phlegmatic",1,1
"3566","trait",1,1
"3567","difference",6,5
"3568","manners",20,11
"3569","inconceivably",1,1
"3570","clumsy",1,1
"3571","awkward",2,2
"3572","carriage",11,7
"3573","unsocial",1,1
"3574","delicate",3,3
"3575","size",20,13
"3576","dressed",4,4
"3577","indulgence",2,2
"3578","restrained",2,2
"3579","parents",11,8
"3580","turn",10,9
"3581","abuse",5,4
"3582","dependent",13,11
"3583","primogeniture",1,1
"3584","entitles",2,2
"3585","advantage",40,33
"3586","male",14,12
"3587","share",14,13
"3588","alike",1,1
"3589","disinherit",1,1
"3590","assigning",1,1
"3591","proof",11,11
"3592","reasons",7,7
"3593","enumerated",3,3
"3594","justinian",1,1
"3595","code.by",1,1
"3596","law",42,24
"3597","community",29,12
"3598","joint",4,4
"3599","belong",3,3
"3600","deceased",3,3
"3601","withheld",9,9
"3602","age.it",1,1
"3603","females",31,18
"3604","emark",1,1
"3605","profited",1,1
"3606","limited",15,15
"3607","families",48,30
"3608","taught",3,2
"3609","tolerable",4,4
"3610","execution",19,15
"3611","proficiency",2,2
"3612","needle",3,3
"3613","lace",1,1
"3614","knotting",1,1
"3615","tambour",1,1
"3616","dresses",1,1
"3617","prevailing",2,2
"3618","fashion",2,2
"3619","passengers",59,34
"3620","catch",1,1
"3621","riseneither",1,1
"3622","deficient",4,4
"3623","vivacity",1,1
"3624","talent",4,4
"3625","degenerate",1,1
"3626","routine",1,1
"3627","smoaking",1,1
"3628","sleeping",2,2
"3629","associate",5,3
"3630","employments",2,2
"3631","backwardness",1,1
"3632","different",57,42
"3633","habits",27,18
"3634","partly",10,8
"3635","vanquished",1,1
"3636","mixing",1,1
"3637","conquerors",1,1
"3638","occupied",11,8
"3639","judicial",4,4
"3640","removal",7,7
"3641","keeping",7,7
"3642","ill-fame",1,1
"3643","gen",5,5
"3644","impartial",6,5
"3645","tha",1,1
"3646","persuaded",11,9
"3647","unentertaining",2,2
"3648","readers.fellow",2,2
"3649","senate",7,5
"3650","representativesit",1,1
"3651","abatement",3,3
"3652","felicitating",2,2
"3653","prosperity",26,16
"3654","hostilities",10,8
"3655","frontier",24,15
"3656","terminated:you",1,1
"3657","reiterated",3,3
"3658","endeavours",5,5
"3659","effecting",5,5
"3660","pacification",2,2
"3661","outrageous",3,3
"3662","proofs",10,10
"3663","hostility",14,13
"3664","tribes",15,7
"3665","tranquillity",3,3
"3666","frontier–to",2,2
"3667","effusion",2,2
"3668","blood–to",2,2
"3669","arrest",4,4
"3670","expense–to",2,2
"3671","forward",23,21
"3672","prevalent",10,10
"3673","strenuous",2,2
"3674","efforts",15,10
"3675","accomplish",3,3
"3676","desirable",19,17
"3677","purposes:–in",1,1
"3678","consulted",3,3
"3679","anticipations",5,5
"3680","scruples",2,2
"3681","inspire",3,3
"3682","attainable",2,2
